,0
Killandra,0.07369672914265346
IMlisacowan,0.05314576623160874
yaseminx3,0.05163381773634415
no_surprises,0.04154794844317561
Rhi_ShortStack,0.039583243647351794
purplesolleile,0.02517926227775111
blue_rose,0.059329524175365626
NGowers,0.048350326190672414
wonderpetunia,0.04848959532363777
spaulds1,0.042461471568621276
heyitsmisti,0.05854581034405923
SomersetBob,0.06106236691120366
hexenwulf,0.04028077632676626
voidspace,0.03902940496217505
JoannaLord,0.03753857264832536
Jinjirrie,0.05541573247279844
amy_wright,0.04223805113222709
Arantza92,0.07559729467184514
Sarah_Davey,0.05717027083854005
mattmaloney,0.07119042911698534
iyarchuleta,0.07669226248773403
fleurybanery,0.07155939889018596
kellygirl27,0.08504372300491903
kyelani,0.0466073769672026
jenncecelia,0.0322797874244721
ComedyQueen,0.06691169667963988
SicknastyLaura,0.08047122656575117
xCarlyy,0.04804633713791322
MiDesfileNegro,0.04520880410194644
abbychang,0.039172271453244
lost_dog,0.8888888888888888
charlii1,0.06386573959422995
DaeHyunKim,0.07081392747537228
rayjohnz,0.06452371154554398
tweeteradder6,0.9361682794966153
robertholiday,0.08545360635547311
girlofwinter,0.07141466653302332
neerav,0.05655469990747317
alemirandac,0.054296524709399226
purplepleather,0.044907379295259765
zte1989,0.15407250217740262
ClaireSparks,0.09406753519330234
XMissxXxMurderX,0.05888307664160265
PinoyTarsier,0.05962788950918849
paramoreroxx,0.059051650272762456
letteapplejuice,0.050176958303843895
RabbiShaiSpecht,0.05515468270230252
brookehaskins,0.05496882628426091
kobraman88,0.058118112892790307
hadramie,0.03803186529732936
kasey79,0.09106485597123258
PaulCarterJr,0.06886037114344686
shaunarawrr_x,0.04646977740332365
exframebuilder,0.08327716956985542
marley_bean,0.038055873285392276
graciekate,0.04873185595231585
doombox,0.055873281451507634
Makenzesgranna,0.06540552091662216
MartinGBEdwards,0.07319973774481131
italylogue,0.0803996028600363
Eri8321317,0.04582399119455161
yuvipanda,0.047613782887076975
HaTheQueen1,0.05630851508030359
hairyc,0.07404837493970415
007peter,0.06240754557337051
angel_17,0.0495560816956778
Hyperopia,0.06562845219491995
CALi_Cutie,0.040634259342031666
ednarheiner,0.08690340687854566
hummingbird604,0.05619842552979477
Mindez,0.06457637212046177
ClaireL93,0.060744578359690354
Mommykins41,0.05695730834282373
raquelramosx,0.06376434924875385
WaDuRosario,0.0731166443267068
yaneri,0.07142590451664999
sabrinahanim,0.07560452362759223
WnchstrsGirl,0.049079505720273774
MrFlossy,0.0880811514403203
scribblegurl,0.05646499332174353
CC_Cassin,0.06360220681361103
eeshkapeesh,0.07142434805727393
SarahMorrison,0.053273404409374024
josepicardo,0.05255933673287378
lamere,0.08351674354306826
JillyO,0.055967626376099526
teamellyn,0.04903174323560242
JustJayde,0.06202850445906527
DYkEY_tYPE,0.06370492056258009
lilaznangel16,0.050022329220135664
Dogbook,0.4742228976459617
Cadistra,0.05904709774573975
risha_,0.046778921561769465
BBRRIITTTTYY,0.05923469265893411
kreativlink,0.049370411239838145
rhidown,0.08272196596863032
sochews,0.02463060722556472
viveksingh,0.04035211765349679
patriciaco,0.10429796881523609
rhettroberts,0.044219453755990276
Sims_Galore,0.03875598162448789
gigi4538,0.06532511700764171
Madddd_,0.04082294890728264
jonbergan,0.04045838114883331
insearchofnkotb,0.04508695423867786
erikaANGEL,0.05943392948937988
ashleighxgebbie,0.0927012085242728
lizamtl,0.04341898010717087
Nainx,0.09105082017654702
charly_murg,0.06512902149949139
bigenya,0.041321569160047394
ashleysings09,0.05771061940170795
SUGARvampchick,0.052956496366770245
empressjazzy1,0.033553984216371034
Amanda2409,0.0702063964503223
jswo,0.057482813667713156
hadaxoxo,0.05647260683317396
ecaps1,0.05571228840932599
xhelloxgoodbyex,0.07327200447167054
sarah_janes,0.06468770357893172
TianaMichelle,0.0641467856101701
Renee_KY,0.08916325471686756
Javamomma,0.07409240332578802
buffyc,0.07114830677118154
ViciousPotato,0.0686928119041148
ihuntmidgets,0.027860237901158835
Tas_E,0.053351694777126195
rhodzy,0.044061333950111255
AleCherry,0.08242015206569817
itsmichellepark,0.04434985240053642
CocoaGeek,0.04924269769426387
valium_,0.06254504769548964
HildeM_EN,0.13893299636733167
SpiderxBear,0.04673656151321776
MeiAcojido,0.03940977134621712
CandyWWGM,0.09602494674576732
MandinaM,0.1029787808646438
andycrash,0.04900332731277998
__xEW,0.05296092705116598
Jade___x,0.05222545622513853
dannybrown,0.06279612821736674
mayhemstudios,0.050880628695216756
LadyErlynne,0.04538432932741575
activistchica,0.05310927273759388
Fluffy_Cupycake,0.0625181020583743
D_AMAZIN,0.09742347358360097
tweetpet,0.5798950555119665
twishes,0.2835065120011854
yellowscone,0.05092646014468505
marshymiffy,0.04940742874114224
LizzieMacfrenzy,0.0538654382050438
hellorachael,0.05653268581158549
WildPaw,0.029734030575786996
markdavidson,0.0922912498960762
Benjimonicus,0.03254996833874465
weelissa,0.05686883156090269
Dutchrudder,0.04939091570028684
gauneyKAY,0.07542326201015073
hjmart,0.08023809647127468
HelloLivvy,0.042255799503448516
vacant_heart,0.04809840460078316
amieewhitney,0.04475804077576864
x3missLautner,0.07285902442912945
beingnobody,0.045616110707840066
Simply_Positive,0.08259660360630174
JazzTheSpazz,0.03697428100893946
musiclove18,0.06924459897412567
Garythetwit,0.044432428454766894
Kikirowr,0.0346476607616046
Blu3b3rri,0.0395372884980042
NKArmyTNgirl,0.06431936940172947
taltalk,0.09238878010793669
eeeepchristinaa,0.03300998967992355
Angeliiinaaa,0.04698116577156246
